lyrics
I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time
When you take you gotta give so live and let live
Or let go oh-whoa-whoa-whoa
I beg your pardon
I never promised you a rose garden
I could promise you things like big diamond rings
But you don't find roses growin' on stalks of clover
So you better think it over
Well if sweet-talkin' you could make it come true
I would give you the world right now on a silver platter
But what would it matter
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can
I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time
I beg your pardon
I never promised you a rose garden
I could sing you a tune and promise you the moon
But if that's what it takes to hold you
I'd just as soon let you go
But there's one thing I want you to know
"You better look before you leap, still waters run deep"
And there won't always be someone there to pull you out
And you know what I'm talkin' about
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can
I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time
I've been walkin' these streets so long
Singin' the same old song
I know every crack in these dirty sidewalks of Broadway
Where hustle's the name of the game
And nice guys get washed away like the snow and the rain
There's been a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Getting cards and letters from people I don't even know
And offers comin' over the phone
"Well, I really don't mind the rain"
And a smile can hide all the pain
But you're down when you're ridin' the train that's takin' the long way
And I dream of the things I'll do
With a subway token and a dollar tucked inside my shoe
There'll be a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Rhinestone cowboy
Gettin' cards and letters from people I don't even know
And offers comin' over the phone
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Gettin' card and letters from people I don't even know
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
"When ever I chance to meet, some old friends on the street"
They wonder how does a man get to be this way
"I've always got a smiling face, anytime & any place"
And every time they ask me why I just smile & say
You've got to kiss an angel good morning
And let her know you think about her when you're gone
Kiss an angel good morning
And love her like the devil when you get back home
"Well people may try to guess, the secret of my happiness"
But some of them never learn it's a simple thing
"The secret I'm speaking of, is a woman & a man in love"
And the answer is in this song that I always sing
You've got to kiss an angel good morning
And let her know you think about her when you're gone
Kiss an angel good morning
And love her like the devil when you get back home
Kiss an angel good morning
And let her know you think about her when you're gone
Kiss an angel good morning
And love her like the devil when you get back home
"I hear people talkin' bad,"
About the way they have to live here in this country
Harpin' on the wars we fight
And gripin' 'bout the way things oughta be
And I don't mind 'em switchin' sides
And standin' up for things they believe in
"But when they're runnin' down our country, man"
They're walkin' on the fightin' side of me
They're walkin' on the fightin' side of me
Runnin' down a way of life
Our fightin' men have fought and died to keep
"If you don't love it, leave it"
Let this song that I'm singin' be a warnin'
"When you're runnin' down our country, hoss"
You're walkin' on the fightin' side of me
I read about some squirrelly guy
Who claims that he just don't believe in fightin'
And I wonder just how long
The rest of us can count on bein' free
They love our milk and honey
But they preach about some other way of livin'
"But when they're runnin' down our country, man"
They're walkin' on the fightin' side of me
They're walkin' on the fightin' side of me
Runnin' down the way of life
Our fightin' men have fought and died to keep
"If you don't love it, leave it"
Let this song that I'm singin' be a warnin'
"When you're runnin' down our country, man"
You're walkin' on the fightin' side of me
You're walkin' on the fightin' side of me
Runnin' down the way of life
Our fightin' men have fought and died to keep
"If you don't love it, leave it"
Let this song that I'm singin' be a warnin'
"When you're runnin' down our country, hoss"
You're walkin' on the fightin' side of me
Don't know when I've been so blue
Don't know what's come over you
You've found someone new and
Don't it make my brown eyes blue
I'll be fine when you're gone
I'll just cry all night long
Say it isn't true and
Don't it make my brown eyes blue
"Tell me no secrets, tell me some lies"
"Give me no reasons, give me alibies"
Tell me you love me and don't let me cry
Say anything but don't say goodbye
I didn't mean to treat you bad
Didn't know just what I had
But honey now I do
And don't it make my brown eyes
Don't it make my brown eyes
Don't it make my brown eyes blue
Well I woke up Sunday morning
With no way to hold my head
That didn't hurt
And the beer I had for breakfast wasn't
Bad so I had one more for dessert
Then I fumbled through my closet
For my clothes
And found my cleanest dirty shirt
And I shaved my face
And combed my hair
And stumbled down the stairs
To meet the day
I'd smoked my brain the night before
With cigarettes and songs
That I've been pickin'
But I lit my first and watched a small kid
Cussin' at a can that he was kickin
Then I crossed the empty street and
Caught the sunday smell
Of someone fryin chicken
And it took me back to something
That I'd lost somehow
Somewhere along the way
On the sunday morning sidewalk
Wishing lord that I was stoned
Cause there's something in a sunday
That makes a body feel alone
